46.1	50
52	54
59.8	57
67.4	60
72.5	63
74	65
76.9	68
81.3	70
88.9	72
96.3	74
103.8	75
109.6	76
114.6	77
120.1	78
125.4	78
130.4	78
131.8	77
129.7	77
122.4	76
116.5	75
110.8	73
106.8	72
102	70
98.4	68
94.1	65
89.6	63
89.3	60
90	57
91.7	54
80.8	51
67.8	48
59.3	45
54.4	42
58.1	39
55.1	36
53.6	32
53.3	29
54.8	26
54.7	24
53.3	21
51	18
51.2	16
53.5	13
55.1	11
56.3	10
56.9	8
57.7	6
56.1	5
56.2	4
56.5	3
58.2	2
58.3	1
57.5	1
55.3	0
49.8	0
24.8	-1
51.4	-1
40.6	-1
-39	-1
-48.6	-1
-9.7	-1
17.2	-1
14.4	-1
14.9	-1
26.3	0
36.2	1
38.3	2
31.7	3
25.8	4
24.3	6
31.2	8
40.7	10
46.1	13
44.5	15
39.4	18
35.7	21
36.6	24
43.8	27
49.4	30
52.4	33
50.6	36
49.2	39
51.4	42
56.4	45
65	48
71.2	50
75.1	53
74.7	55
75	57
77	59
83.9	60
92.1	61
99.9	62
104.5	63
108.7	63
112.8	64
116	64
119.4	63
118.6	63
115.2	62
106.6	61
98	59
89.7	58
83.6	56
78.1	54
74.9	52
73.9	50
73.2	47
64.5	45
46.4	42
35.2	39
30.1	36
32.7	34
29.1	31
25.3	28
23.3	26
22.8	23
23.6	20
21.9	18
20.8	16
18	14
18.5	12
20.3	10
22.7	8
24.9	7
25.3	5
25	4
24.8	3
26.5	2
28	2
30.3	1
31.7	0
32.2	0
30.5	0
28.3	-1
2.3	-1
36.4	-1
13.8	-1
-59.8	-1
-63.8	-1
-22.2	-1
4.1	-1
1.1	-1
4.2	0
16.4	0
25.6	1
26.9	2
21	3
15.8	5
14.1	7
20.9	9
27.5	12
31.6	14
28.6	17
22.2	20
18.3	23
20.1	26
28.4	30
36.3	33
41.2	36
40.7	40
42.9	43
46.5	46
54.5	49
64.1	52
72.6	54
76.1	57
76.2	59
77.9	62
81.3	63
88.1	65
93.8	66
99.8	67
103.3	68
105.5	68
107.3	69
107.8	68
108.4	68
105.2	68
98.3	67
87.1	65
76.5	64
65.8	62
58.7	60
51.9	58
46.5	56
40.4	54
32.1	51
25.5	48
19	46
15.5	43
12	40
7.2	37
